customer_id,total_orders,returned_orders,total_spend,avg_order_value,max_order_value,total_return_cost,avg_return_cost,avg_days_to_return,min_days_to_return,account_age_days,unique_products,unique_categories,unique_payment_methods,return_rate,return_cost_ratio,rapid_returns,rapid_return_ratio,activity_span_days,orders_per_30_days,accounts_same_device,accounts_same_address,accounts_same_payment,is_abuse,abuse_type
USER0001,1,0,6074.264789999999,6074.264789999999,6074.264789999999,0.0,0.0,0.0,0,552,1,1,1,0.0,0.0,0,0.0,0,30.0,1,1,1,0,LEGITIMATE
USER0002,1,0,1592.983818,1592.983818,1592.983818,0.0,0.0,0.0,0,738,1,1,1,0.0,0.0,0,0.0,0,30.0,1,1,1,0,LEGITIMATE
USER0003,3,1,5673.962896,1891.3209653333333,2024.114058,200.0,66.66666666666667,6.0,0,955,3,3,3,0.3333333333333333,0.03524873244077696,0,0.0,879,0.10227272727272728,1,1,1,0,LEGITIMATE
USER0004,3,1,6857.4742320000005,2285.824744,3199.31157,200.0,66.66666666666667,12.333333333333334,0,1231,3,3,1,0.3333333333333333,0.029165257241027864,0,0.0,724,0.12413793103448276,1,1,1,0,LEGITIMATE
USER0006,2,1,3028.6762980000003,1514.3381490000002,2857.4975520000003,200.0,100.0,20.5,0,1023,2,2,1,0.5,0.06603544925949031,0,0.0,542,0.11049723756906077,1,1,1,0,LEGITIMATE
USER0007,3,1,8247.228828,2749.076276,4761.9482,200.0,66.66666666666667,12.666666666666666,0,1599,3,1,1,0.3333333333333333,0.024250570000068878,0,0.0,1040,0.08645533141210375,1,1,1,0,LEGITIMATE
USER0008,4,2,18505.223298,4626.3058245,8617.412205,400.0,100.0,20.25,0,527,4,4,3,0.5,0.02161551868672836,0,0.0,444,0.2696629213483146,1,1,1,0,LEGITIMATE
USER0009,1,0,3672.745615,3672.745615,3672.745615,0.0,0.0,0.0,0,36,1,1,1,0.0,0.0,0,0.0,0,30.0,1,1,1,0,LEGITIMATE
USER0010,1,0,318.376747,318.376747,318.376747,0.0,0.0,0.0,0,690,1,1,1,0.0,0.0,0,0.0,0,30.0,1,1,1,0,LEGITIMATE
USER0011,1,0,2159.776248,2159.776248,2159.776248,0.0,0.0,0.0,0,87,1,1,1,0.0,0.0,0,0.0,0,30.0,1,1,1,0,LEGITIMATE
USER0012,1,1,4091.93694,4091.93694,4091.93694,200.0,200.0,22.0,22,764,1,1,1,1.0,0.048876608543239185,0,0.0,0,30.0,1,1,1,0,LEGITIMATE
USER0013,1,0,4340.0162040000005,4340.0162040000005,4340.0162040000005,0.0,0.0,0.0,0,646,1,1,1,0.0,0.0,0,0.0,0,30.0,1,1,1,0,LEGITIMATE
USER0015,6,1,12642.438249,2107.0730415000003,3873.452736,200.0,33.333333333333336,7.333333333333333,0,951,6,4,4,0.16666666666666666,0.015819733192354704,0,0.0,850,0.21151586368977673,1,1,1,0,LEGITIMATE
USER0016,4,1,5926.160216,1481.540054,3129.49237,200.0,50.0,10.25,0,1623,4,3,3,0.25,0.03374866569756608,0,0.0,1040,0.11527377521613832,1,1,1,0,LEGITIMATE
USER0017,1,0,1492.51856,1492.51856,1492.51856,0.0,0.0,0.0,0,222,1,1,1,0.0,0.0,0,0.0,0,30.0,1,1,1,0,LEGITIMATE
USER0018,4,3,6308.092749,1577.02318725,2864.5175,200.0,50.0,10.75,0,1048,4,3,2,0.75,0.031705304274688303,2,0.6666666666666666,816,0.14687882496940025,1,1,1,0,HIGH_RETURN_LEGITIMATE
USER0019,2,1,1552.8806399999999,776.4403199999999,1004.79792,200.0,100.0,18.0,0,644,2,1,2,0.5,0.12879289936926513,0,0.0,224,0.26666666666666666,1,1,1,0,LEGITIMATE
USER0020,3,0,2793.077302,931.0257673333334,1964.862984,0.0,0.0,0.0,0,997,3,3,3,0.0,0.0,0,0.0,689,0.13043478260869565,1,1,1,0,LEGITIMATE
USER0021,2,1,8466.81184,4233.40592,5623.84189,200.0,100.0,7.0,0,1391,2,1,1,0.5,0.023621642216629206,0,0.0,746,0.08032128514056225,1,1,1,0,LEGITIMATE
USER0022,3,2,15034.388271,5011.462757,7181.2818,400.0,133.33333333333334,18.333333333333332,0,864,3,2,2,0.6666666666666666,0.026605671796541566,0,0.0,408,0.2200488997555012,1,1,1,0,LEGITIMATE
USER0023,1,0,1592.32672,1592.32672,1592.32672,0.0,0.0,0.0,0,738,1,1,1,0.0,0.0,0,0.0,0,30.0,1,1,1,0,LEGITIMATE
USER0024,1,0,495.4698460000001,495.4698460000001,495.4698460000001,0.0,0.0,0.0,0,247,1,1,1,0.0,0.0,0,0.0,0,30.0,1,1,1,0,LEGITIMATE
USER0025,3,0,11254.440106,3751.4800353333335,6274.235320000001,0.0,0.0,0.0,0,1237,2,3,2,0.0,0.0,0,0.0,966,0.09307135470527404,1,1,1,0,LEGITIMATE
USER0027,3,1,8856.264220000001,2952.088073333334,6044.2838,200.0,66.66666666666667,17.666666666666668,0,1073,3,2,2,0.3333333333333333,0.022582885405376937,0,0.0,541,0.16605166051660517,1,1,1,0,LEGITIMATE
USER0028,3,1,6288.55862,2096.1862066666667,2778.489792,200.0,66.66666666666667,3.6666666666666665,0,1313,3,3,2,0.3333333333333333,0.031803790357288586,0,0.0,483,0.1859504132231405,1,1,1,0,LEGITIMATE
USER0029,4,2,9773.327669999999,2443.3319174999997,4570.4828800000005,400.0,100.0,13.75,0,1073,4,3,2,0.5,0.04092771812284895,0,0.0,852,0.1406799531066823,1,1,1,0,LEGITIMATE
USER0030,3,0,12926.102112,4308.700704,5885.32554,0.0,0.0,0.0,0,598,3,2,1,0.0,0.0,0,0.0,221,0.40540540540540543,1,1,1,0,LEGITIMATE
USER0031,2,1,2304.14408,1152.07204,1977.13208,200.0,100.0,28.5,0,1356,2,2,1,0.5,0.08680012753369139,0,0.0,721,0.08310249307479224,1,1,1,0,LEGITIMATE
USER0032,1,1,4438.925904000001,4438.925904000001,4438.925904000001,200.0,200.0,36.0,36,795,1,1,1,1.0,0.045055944686928924,0,0.0,0,30.0,1,1,1,0,LEGITIMATE
USER0033,1,0,362.842508,362.842508,362.842508,0.0,0.0,0.0,0,236,1,1,1,0.0,0.0,0,0.0,0,30.0,1,1,1,0,LEGITIMATE
USER0034,4,0,13187.690660999999,3296.9226652499997,5107.322299999999,0.0,0.0,0.0,0,1687,4,3,3,0.0,0.0,0,0.0,1102,0.10879419764279238,1,1,1,0,LEGITIMATE
USER0035,1,1,5910.916883999999,5910.916883999999,5910.916883999999,200.0,200.0,54.0,54,290,1,1,1,1.0,0.03383569823852053,0,0.0,0,30.0,1,1,1,0,LEGITIMATE
USER0036,2,2,4336.71077,2168.355385,3431.3071199999995,3028.6838062755205,1514.3419031377603,23.5,2,1349,2,2,2,1.0,0.6983827068263353,1,0.5,462,0.12958963282937366,1,1,1,1,INDIVIDUAL_RETURN_ABUSE
USER0037,1,0,7163.50319,7163.50319,7163.50319,0.0,0.0,0.0,0,678,1,1,1,0.0,0.0,0,0.0,0,30.0,1,1,1,0,LEGITIMATE
USER0038,3,0,5751.753884000001,1917.2512946666668,4196.7079,0.0,0.0,0.0,0,1281,3,3,2,0.0,0.0,0,0.0,1073,0.08379888268156424,1,1,1,0,LEGITIMATE
USER0039,2,1,4913.149024,2456.574512,4705.122304,200.0,100.0,26.5,0,1143,2,2,2,0.5,0.04070709010107974,0,0.0,662,0.09049773755656108,1,1,1,0,LEGITIMATE
USER0040,1,0,2336.6931900000004,2336.6931900000004,2336.6931900000004,0.0,0.0,0.0,0,167,1,1,1,0.0,0.0,0,0.0,0,30.0,1,1,1,0,LEGITIMATE
USER0041,5,2,7396.960148,1479.3920296000001,2914.753,400.0,80.0,6.0,0,1513,5,4,3,0.4,0.05407626808806757,0,0.0,983,0.1524390243902439,1,1,1,0,LEGITIMATE
USER0042,1,1,2996.812215,2996.812215,2996.812215,200.0,200.0,25.0,25,608,1,1,1,1.0,0.06673758168727967,0,0.0,0,30.0,1,1,1,0,LEGITIMATE
USER0043,3,0,6362.240574,2120.746858,3847.05989,0.0,0.0,0.0,0,1248,3,2,3,0.0,0.0,0,0.0,953,0.09433962264150944,1,1,1,0,LEGITIMATE
USER0044,1,1,2644.46424,2644.46424,2644.46424,200.0,200.0,7.0,7,453,1,1,1,1.0,0.07562968595861974,0,0.0,0,30.0,1,1,1,0,LEGITIMATE
USER0045,1,0,2164.4279850000003,2164.4279850000003,2164.4279850000003,0.0,0.0,0.0,0,830,1,1,1,0.0,0.0,0,0.0,0,30.0,1,1,1,0,LEGITIMATE
USER0046,2,1,3421.996085,1710.9980425,2369.13664,200.0,100.0,2.5,0,965,2,2,2,0.5,0.05844542045991265,1,1.0,233,0.2564102564102564,1,1,1,0,LEGITIMATE
USER0047,2,1,3790.827236,1895.413618,2566.249728,1054.553584963886,527.276792481943,3.0,0,756,2,2,2,0.5,0.27818560944935816,0,0.0,361,0.16574585635359115,5,5,3,1,COORDINATED_RETURN_ABUSE
USER0048,1,1,1549.35396,1549.35396,1549.35396,200.0,200.0,30.0,30,792,1,1,1,1.0,0.12908606113479712,0,0.0,0,30.0,1,1,1,0,LEGITIMATE
USER0049,1,0,5203.995999999999,5203.995999999999,5203.995999999999,0.0,0.0,0.0,0,712,1,1,1,0.0,0.0,0,0.0,0,30.0,1,1,1,0,LEGITIMATE
USER0050,1,0,2322.36411,2322.36411,2322.36411,0.0,0.0,0.0,0,868,1,1,1,0.0,0.0,0,0.0,0,30.0,1,1,1,0,LEGITIMATE
USER0051,2,0,1146.8326980000002,573.4163490000001,1025.301288,0.0,0.0,0.0,0,131,2,2,2,0.0,0.0,0,0.0,97,0.6122448979591837,1,1,1,0,LEGITIMATE
USER0052,3,0,5336.699034,1778.899678,2512.79358,0.0,0.0,0.0,0,1569,3,3,3,0.0,0.0,0,0.0,986,0.0911854103343465,1,1,1,0,LEGITIMATE
USER0053,1,0,3170.817884,3170.817884,3170.817884,0.0,0.0,0.0,0,873,1,1,1,0.0,0.0,0,0.0,0,30.0,1,1,1,0,LEGITIMATE
USER0055,1,1,2589.040035,2589.040035,2589.040035,200.0,200.0,12.0,12,862,1,1,1,1.0,0.07724870890225535,0,0.0,0,30.0,1,1,1,0,LEGITIMATE
USER0056,3,2,11573.08995,3857.69665,5605.164075,400.0,133.33333333333334,19.333333333333332,0,1330,3,3,2,0.6666666666666666,0.03456293882862286,0,0.0,495,0.1814516129032258,1,1,1,0,LEGITIMATE
USER0057,2,1,6085.690778,3042.845389,3326.846898,200.0,100.0,29.0,0,1017,2,1,1,0.5,0.032863976711239994,0,0.0,431,0.1388888888888889,1,1,1,0,LEGITIMATE
USER0058,2,1,9000.90755,4500.453775,8260.2725,200.0,100.0,27.5,0,1067,2,1,2,0.5,0.022219981583968165,0,0.0,791,0.07575757575757576,1,1,1,0,LEGITIMATE
USER0059,5,5,17803.095415,3560.619083,5938.413516,9791.326618142963,1958.2653236285926,3.0,1,1512,5,2,4,1.0,0.5499788879350318,5,1.0,848,0.17667844522968199,1,1,1,1,INDIVIDUAL_RETURN_ABUSE
USER0060,3,0,10837.591444000002,3612.5304813333337,5188.6752400000005,0.0,0.0,0.0,0,733,3,1,2,0.0,0.0,0,0.0,185,0.4838709677419355,1,1,1,0,LEGITIMATE
USER0061,1,1,2579.084616,2579.084616,2579.084616,200.0,200.0,46.0,46,713,1,1,1,1.0,0.07754689348276893,0,0.0,0,30.0,1,1,1,0,LEGITIMATE
USER0062,4,1,11723.743148000001,2930.9357870000003,3776.439624000001,200.0,50.0,5.25,0,1140,4,2,3,0.25,0.01705939796489987,0,0.0,891,0.13452914798206278,1,1,1,0,LEGITIMATE
USER0063,1,1,519.826527,519.826527,519.826527,200.0,200.0,26.0,26,264,1,1,1,1.0,0.3847437358655611,0,0.0,0,30.0,1,1,1,0,LEGITIMATE
USER0064,1,0,477.05644799999993,477.05644799999993,477.05644799999993,0.0,0.0,0.0,0,878,1,1,1,0.0,0.0,0,0.0,0,30.0,1,1,1,0,LEGITIMATE
USER0065,4,0,7329.156382000001,1832.2890955000003,3173.210404,0.0,0.0,0.0,0,998,4,3,2,0.0,0.0,0,0.0,559,0.21428571428571427,1,1,1,0,LEGITIMATE
USER0066,2,1,3123.355656,1561.677828,1806.288468,200.0,100.0,15.0,0,219,2,2,2,0.5,0.06403369389451305,0,0.0,62,0.9523809523809523,1,1,1,0,LEGITIMATE
USER0067,6,4,11885.785049999999,1980.9641749999998,3576.468384,800.0,133.33333333333334,30.166666666666668,0,1501,6,4,4,0.6666666666666666,0.06730729157852304,0,0.0,986,0.182370820668693,1,1,1,0,LEGITIMATE
USER0068,4,1,8548.463938,2137.1159845,5799.052490000001,200.0,50.0,6.25,0,1297,4,3,3,0.25,0.023396016108923542,0,0.0,851,0.14084507042253522,1,1,1,0,LEGITIMATE
USER0069,1,0,1923.59492,1923.59492,1923.59492,0.0,0.0,0.0,0,215,1,1,1,0.0,0.0,0,0.0,0,30.0,1,1,1,0,LEGITIMATE
